	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
82	IBC	ses-enumeration	sub-01	fs32k	CondHalf	sub-01	1.0	0.20240861338840146	0.20240861338840146	1	1
83	IBC	ses-hcp1	sub-01	fs32k	CondHalf	sub-01	1.0	0.07956424520848468	0.07956424520848468	1	1
84	IBC	ses-hcp2	sub-01	fs32k	CondHalf	sub-01	1.0	0.10385201831587751	0.10385201831587751	1	1
85	IBC	ses-lyon1	sub-01	fs32k	CondHalf	sub-01	0.8491783607247204	0.22371930380668686	0.22371930380668686	2	2
86	IBC	ses-lyon2	sub-01	fs32k	CondHalf	sub-01	0.6495870136418812	0.18132821570274055	0.18132821570274055	3	3
87	IBC	ses-mathlang	sub-01	fs32k	CondHalf	sub-01	1.0	0.08183454769233167	0.08183454769233167	3	3
88	IBC	ses-mtt1	sub-01	fs32k	CondHalf	sub-01	1.0	0.21443764088596112	0.21443764088596112	0	0
89	IBC	ses-mtt2	sub-01	fs32k	CondHalf	sub-01	1.0	0.2134656834719264	0.2134656834719264	3	3
90	IBC	ses-preference	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.12086253028201606	0.12086253028201606	2	2
91	IBC	ses-rsvplanguage	sub-01	fs32k	CondHalf	sub-01	1.0	0.24152316535503687	0.24152316535503687	0	0
92	IBC	ses-spatialnavigation	sub-01	fs32k	CondHalf	sub-01	0.36703933919853055	0.141141367095552	0.14114136709555197	0	0
93	IBC	ses-tom	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.1050958119725473	0.1050958119725473	1	1
94	IBC	ses-archi	sub-04	fs32k	CondHalf	sub-04	1.0	0.1474927666752468	0.1474927666752468	1	1
95	IBC	ses-clips4	sub-04	fs32k	CondHalf	sub-04	1.0	0.16881100522675438	0.1688110052267544	0	0
96	IBC	ses-enumeration	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.25754501624245524	0.25754501624245524	3	3
97	IBC	ses-hcp1	sub-04	fs32k	CondHalf	sub-04	1.0	0.08808872748010643	0.08808872748010643	1	1
98	IBC	ses-hcp2	sub-04	fs32k	CondHalf	sub-04	1.0	0.12123587226373009	0.12123587226373009	0	0
99	IBC	ses-lyon1	sub-04	fs32k	CondHalf	sub-04	0.8361013674454875	0.22457353628111182	0.22457353628111182	0	0
100	IBC	ses-lyon2	sub-04	fs32k	CondHalf	sub-04	0.6323258881896638	0.18479496236376827	0.18479496236376827	2	2
101	IBC	ses-mathlang	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.08585218674679043	0.08585218674679043	1	1
102	IBC	ses-mtt1	sub-04	fs32k	CondHalf	sub-04	1.0	0.21669846970901363	0.21669846970901363	1	1
103	IBC	ses-mtt2	sub-04	fs32k	CondHalf	sub-04	1.0	0.2534346838202261	0.2534346838202261	1	1
104	IBC	ses-preference	sub-04	fs32k	CondHalf	sub-04	0.9999999999999998	0.16640817130555927	0.16640817130555927	4	4
105	IBC	ses-rsvplanguage	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.24774341934765806	0.24774341934765806	4	4
106	IBC	ses-spatialnavigation	sub-04	fs32k	CondHalf	sub-04	0.37041067919142057	0.15166522836258464	0.15166522836258461	4	4
107	IBC	ses-tom	sub-04	fs32k	CondHalf	sub-04	1.0	0.14256238284726633	0.14256238284726633	0	0
108	IBC	ses-archi	sub-05	fs32k	CondHalf	sub-05	1.0	0.14053729323036063	0.14053729323036063	4	4
109	IBC	ses-clips4	sub-05	fs32k	CondHalf	sub-05	1.0	0.14500567715553453	0.14500567715553456	0	0
110	IBC	ses-enumeration	sub-05	fs32k	CondHalf	sub-05	1.0	0.1956952470055646	0.19569524700556462	0	0
111	IBC	ses-hcp1	sub-05	fs32k	CondHalf	sub-05	1.0	0.09060825562647262	0.09060825562647262	0	0
112	IBC	ses-hcp2	sub-05	fs32k	CondHalf	sub-05	1.0	0.09853112960534145	0.09853112960534145	0	0
113	IBC	ses-lyon1	sub-05	fs32k	CondHalf	sub-05	0.837007817445749	0.20485656807625618	0.20485656807625618	6	6
114	IBC	ses-lyon2	sub-05	fs32k	CondHalf	sub-05	0.6219129599359821	0.1699393222573922	0.1699393222573922	1	1
115	IBC	ses-mathlang	sub-05	fs32k	CondHalf	sub-05	1.0	0.06742814595134307	0.06742814595134307	2	2
116	IBC	ses-mtt1	sub-05	fs32k	CondHalf	sub-05	1.0	0.21512505624506062	0.21512505624506062	2	2
117	IBC	ses-mtt2	sub-05	fs32k	CondHalf	sub-05	1.0	0.2118903015394714	0.2118903015394714	0	0
118	IBC	ses-preference	sub-05	fs32k	CondHalf	sub-05	1.0	0.15008831637417855	0.15008831637417855	0	0
