sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
165	subject_step	120111	build_network_timecourse	ok	0.7087217532098293	924.75390625	955.390625	955.390625	30.63671875	
166	subject_step	120111	connectivity_fingerprint	ok	5.4478799644857645	955.390625	1048.734375	1828.3046875	872.9140625	
167	subject_step	120111	build_output_metadata	ok	0.0234179999679327	1048.734375	1048.734375	1048.734375	0.0	
168	subject_step	120111	create_cifti	ok	1.3632795847952366	1048.734375	924.90234375	1048.734375	0.0	
169	subject_step	120111	save_cifti	ok	2.220548862591386	924.90234375	924.90234375	924.90234375	0.0	
170	subject	120111	subject_total	ok	14.170505844056606	924.75390625	924.90234375	3093.76171875	2169.0078125	
171	subject_step	120212	load_subject_data	ok	4.89095962792635	924.90234375	924.90234375	3201.41796875	2276.515625	
172	subject_step	120212	build_network_timecourse	ok	0.9296638891100883	924.90234375	955.66796875	955.66796875	30.765625	
173	subject_step	120212	connectivity_fingerprint	ok	5.617693101987243	955.66796875	1049.12109375	1825.59765625	869.9296875	
174	subject_step	120212	build_output_metadata	ok	0.021252568811178207	1049.12109375	1049.12109375	1049.12109375	0.0	
175	subject_step	120212	create_cifti	ok	1.367069449275732	1049.12109375	925.28515625	1049.12109375	0.0	
176	subject_step	120212	save_cifti	ok	2.1033649537712336	925.28515625	925.28515625	925.28515625	0.0	
177	subject	120212	subject_total	ok	15.254597019404173	924.90234375	925.28515625	3201.41796875	2276.515625	
178	subject_step	120515	load_subject_data	ok	4.844087718054652	925.28515625	925.28515625	3240.984375	2315.69921875	
179	subject_step	120515	build_network_timecourse	ok	0.9071025382727385	925.28515625	955.9296875	955.9296875	30.64453125	
180	subject_step	120515	connectivity_fingerprint	ok	5.845002897083759	955.9296875	1049.3359375	1860.1015625	904.171875	
181	subject_step	120515	build_output_metadata	ok	0.03575430437922478	1049.3359375	1049.3359375	1049.3359375	0.0	
182	subject_step	120515	create_cifti	ok	1.5708268154412508	1049.3359375	922.3203125	1049.3359375	0.0	
183	subject_step	120515	save_cifti	ok	2.508182231336832	922.3203125	922.1015625	922.3203125	0.0	
184	subject	120515	subject_total	ok	16.15465423837304	925.28515625	922.1015625	3240.984375	2315.69921875	
185	subject_step	120717	load_subject_data	ok	4.710773056373	922.1015625	922.3203125	3233.3828125	2311.28125	
186	subject_step	120717	build_network_timecourse	ok	0.9442286100238562	922.3203125	956.08984375	956.08984375	33.76953125	
187	subject_step	120717	connectivity_fingerprint	ok	5.747114488855004	956.08984375	1048.55859375	1805.44140625	849.3515625	
188	subject_step	120717	build_output_metadata	ok	0.026426559314131737	1048.55859375	1048.55859375	1048.55859375	0.0	
189	subject_step	120717	create_cifti	ok	1.3617358691990376	1048.55859375	921.546875	1048.55859375	0.0	
190	subject_step	120717	save_cifti	ok	1.9884484596550465	921.546875	921.54296875	921.546875	0.0	
191	subject	120717	subject_total	ok	15.172807142138481	922.1015625	921.54296875	3233.3828125	2311.28125	
192	subject_step	121416	load_subject_data	ok	4.854541352018714	921.54296875	921.54296875	3222.03515625	2300.4921875	
193	subject_step	121416	build_network_timecourse	ok	0.7420942578464746	921.54296875	955.28515625	955.28515625	33.7421875	
194	subject_step	121416	connectivity_fingerprint	ok	5.327146340161562	955.28515625	1054.703125	1807.921875	852.63671875	
195	subject_step	121416	build_output_metadata	ok	0.053919343277812004	1054.703125	1054.703125	1054.703125	0.0	
196	subject_step	121416	create_cifti	ok	1.4465134739875793	1054.703125	927.69140625	1054.703125	0.0	
197	subject_step	121416	save_cifti	ok	2.0657298751175404	927.69140625	927.69140625	927.69140625	0.0	
198	subject	121416	subject_total	ok	14.792014308273792	921.54296875	927.69140625	3222.03515625	2300.4921875	
199	subject_step	121618	load_subject_data	ok	4.252941539511085	927.69140625	927.69140625	3118.37109375	2190.6796875	
200	subject_step	121618	build_network_timecourse	ok	0.7339193802326918	927.69140625	961.58984375	961.58984375	33.8984375	
201	subject_step	121618	connectivity_fingerprint	ok	5.639549208804965	961.58984375	1048.28125	1869.1015625	907.51171875	
202	subject_step	121618	build_output_metadata	ok	0.02426435984671116	1048.28125	1048.28125	1048.28125	0.0	
