task	condition	regnum	regid	reginterest
Enumeration	enumeration_response_num_6	12	6	1
Enumeration	enumeration_response_num_7	13	7	1
Enumeration	enumeration_response_num_8	14	8	1
Self	correct_rejection	1	1	1
Self	encode_other	2	2	1
Self	encode_other_no_response	3	3	0
Self	encode_self	4	4	1
Self	encode_self_no_response	5	5	0
Self	false_alarm	6	6	0
Self	instructions	7	7	0
Self	new_no_response	8	8	0
Self	recognition_other_hit	9	9	1
Self	recognition_other_miss	10	10	0
Self	recognition_other_no_response	11	11	0
Self	recognition_self_hit	12	12	1
Self	recognition_self_miss	13	13	0
Self	recognition_self_no_response	14	14	0
Bang	no_talk	15	1	1
Bang	talk	16	2	1
Wedge	left_meridian	1	1	1
Wedge	lower_left	2	2	1
Wedge	lower_meridian	3	3	1
Wedge	lower_right	4	4	1
Wedge	right_meridian	5	5	1
Wedge	upper_left	6	6	1
Wedge	upper_meridian	7	7	1
Wedge	upper_right	8	8	1
Ring	foveal	9	1	1
Ring	middle	10	2	1
Ring	peripheral	11	3	1
Moto	finger_left	1	1	1
Moto	finger_right	2	2	1
Moto	fixation_left	3	3	1
Moto	fixation_right	4	4	1
Moto	foot_left	5	5	1
Moto	foot_right	6	6	1
Moto	hand_left	7	7	1
Moto	hand_right	8	8	1
Moto	instructions	9	9	0
Moto	saccade_left	10	10	1
Moto	saccade_right	11	11	1
Moto	tongue_left	12	12	1
Moto	tongue_right	13	13	1
MCSE	high_salience_left	14	1	1
MCSE	high_salience_right	15	2	1
MCSE	low_salience_left	16	3	1
MCSE	low_salience_right	17	4	1
MVEB	2_letters_different	18	1	1
MVEB	2_letters_same	19	2	1
MVEB	4_letters_different	20	3	1
MVEB	4_letters_same	21	4	1
MVEB	6_letters_same	22	5	1
MVEB	6_letters_different	23	6	1
MVEB	p_startup	24	7	1
MVEB	response	25	8	1
MVIS	2_dots	26	1	1
MVIS	2_dots_control	27	2	1
MVIS	4_dots	28	3	1
MVIS	4_dots_control	29	4	1
MVIS	6_dots	30	5	1
MVIS	6_dots_control	31	6	1
MVIS	p_startup	32	7	1
MVIS	response	33	8	1
Lec1	pseudoword	1	1	1
Lec1	random_string	2	2	1
Lec1	word	3	3	1
Lec2	attend	4	1	1
Lec2	unattend	5	2	1
Audi	alphabet	6	1	1
Audi	animals	7	2	1
Audi	cough	8	3	1
Audi	environment	9	4	1
Audi	human	10	5	1
Audi	laugh	11	6	1
Audi	music	12	7	1
Audi	reverse	13	8	1
Audi	silence	14	9	1
Audi	speech	15	10	1
Audi	suomi	16	11	1
Audi	tear	17	12	1
Audi	yawn	18	13	1
Visu	animal	19	1	1
Visu	characters	20	2	1
Visu	face	21	3	1
Visu	house	22	4	1
Visu	pseudoword	23	5	1
Visu	scene	24	6	1
Visu	scrambled	25	7	1
Visu	target_fruit	26	8	1
Visu	tool	27	9	1
MathLanguage	arithmetic_fact_auditory	1	1	1
MathLanguage	arithmetic_fact_visual	2	2	1
MathLanguage	arithmetic_principle_auditory	3	3	1
MathLanguage	arithmetic_principle_visual	4	4	1
MathLanguage	colorlessg_auditory	5	5	1
MathLanguage	colorlessg_visual	6	6	1
MathLanguage	context_auditory	7	7	1
MathLanguage	context_visual	8	8	1
MathLanguage	general_auditory	9	9	1
MathLanguage	general_visual	10	10	1
MathLanguage	geometry_fact_auditory	11	11	1
MathLanguage	geometry_fact_visual	12	12	1
MathLanguage	theory_of_mind_auditory	13	13	1
MathLanguage	theory_of_mind_visual	14	14	1
MathLanguage	wordlist_auditory	15	15	1
MathLanguage	wordlist_visual	16	16	1
SpatialNavigation	control	1	1	1
SpatialNavigation	experimental	2	2	1
SpatialNavigation	intersection	3	3	1
SpatialNavigation	navigation	4	4	1
SpatialNavigation	pointing_control	5	5	1
SpatialNavigation	pointing_experimental	6	6	1
