subj,group map,noise_floor,dataOnly_run_01,dataOnly_run_02,dataOnly_run_03,dataOnly_run_04,dataOnly_run_05,dataOnly_run_06,dataOnly_run_07,dataOnly_run_08,dataOnly_run_09,dataOnly_run_10,dataOnly_run_11,dataOnly_run_12,dataOnly_run_13,dataOnly_run_14,dataOnly_run_15,dataOnly_run_16,data+prior_run_01,data+prior_run_02,data+prior_run_03,data+prior_run_04,data+prior_run_05,data+prior_run_06,data+prior_run_07,data+prior_run_08,data+prior_run_09,data+prior_run_10,data+prior_run_11,data+prior_run_12,data+prior_run_13,data+prior_run_14,data+prior_run_15,data+prior_run_16
sub_11,0.4847207868234006,0.3348939265242289,0.46883683698265,0.4387949372507777,0.4282763131350136,0.4251722423074896,0.4158903403802644,0.4124215337645415,0.4110649426102898,0.4087406844342242,0.4018012569720668,0.3970347695352313,0.3951855391939446,0.3959797572023681,0.3943975046462174,0.3908971737998167,0.3900480052361313,0.3876726772482258,0.4197604898461118,0.4063426164927036,0.4010869910440846,0.400659310888711,0.3970574177140628,0.3960827686282068,0.3958485951695673,0.3948299750124664,0.3906852783910907,0.3876825146432955,0.3867486925840157,0.3874199284804747,0.386810011867767,0.3844424543854053,0.3838188161865789,0.3824591101960232
sub_12,0.2802923570222729,0.2412125139730403,0.2924341803753072,0.2894153603374225,0.2863496983559662,0.2831139824478931,0.2839032206056113,0.2821228978680203,0.2807357963031248,0.2793594099608325,0.2782061464337355,0.277436029038098,0.2778357677014347,0.2777315250085897,0.2769649479399162,0.2757013971507724,0.2748368802321841,0.2737514557622448,0.2748894557128383,0.2728055735086128,0.2716339834350095,0.2693392248022082,0.2700881787750402,0.2692718442080259,0.2690315221672685,0.2685358359972949,0.2681890848665764,0.2679793185355583,0.2682779204884357,0.268518312431073,0.2680143135813719,0.2673438142598209,0.266846847780322,0.2661703435694896
sub_13,0.2065444094854498,0.1605581728097889,0.2177827341514859,0.2121994902463729,0.2042931065810233,0.2014201303285879,0.1990431309481528,0.1970794375436323,0.1944303672791604,0.1928266016689681,0.1895416461859669,0.1880375261595769,0.1867680017043297,0.1859229621356674,0.1854820088185069,0.1852134079527697,0.1852070667147009,0.1848305405110731,0.1931356283624327,0.1899827706905514,0.1869438430494111,0.185168246049907,0.1838512515179866,0.1831579601757577,0.182036997033647,0.1813041855108298,0.1797778912485726,0.1791792224291861,0.1787113559814918,0.1785169451945142,0.1784607143414783,0.1782463710657561,0.1783525833679849,0.1783777802138132
sub_14,0.2648571352471725,0.2011247858829164,0.2706822710236845,0.2640736418260671,0.2547686291160277,0.2513453350819856,0.2463765225958394,0.24245870061585,0.240665693979358,0.2394798604521247,0.2361986501175469,0.2379873737609776,0.2387357127570942,0.2381566357003045,0.2375863314267316,0.2355441971902958,0.2353375162961394,0.2332044182918231,0.240530917388055,0.2376171001350868,0.2327770578514476,0.2312551319068711,0.2294738623900597,0.2282721965061037,0.2278003800356034,0.2273520446197579,0.2261017639065546,0.2270561240788713,0.2276285702621224,0.2277523030889191,0.2277944214690614,0.2262360711596789,0.2263984549411272,0.2253321903362393
sub_15,0.193941787752911,0.165292306102466,0.1998523275978602,0.1963720594712906,0.1968685558962472,0.1937288403883116,0.1957403000112414,0.1955136119409797,0.1949517102710598,0.193860994331889,0.1924561910090347,0.191228199761469,0.1912752180662632,0.1914779082408719,0.1924757277210802,0.1917971144525426,0.1913861120211388,0.1910230008313389,0.1867271001134143,0.1850842215680777,0.1855273978209409,0.1842472389743786,0.185474711462493,0.1853236707720826,0.185192891459158,0.1846846102781645,0.1843319106895967,0.1837910251393368,0.1837732879446701,0.1836223198072009,0.1839755901355823,0.1836226617089577,0.183420550293075,0.1833275089936567
sub_16,0.2782998251941558,0.2042526024484839,0.2872733445379291,0.2734695518722735,0.2656863186934479,0.2599104058170367,0.2552498042210017,0.2519167273258142,0.2463212868425176,0.2465495151149302,0.2437416087904968,0.2404736337712097,0.2389592442191878,0.2369882230552469,0.2362025445618667,0.2345588715895411,0.2336041313262059,0.2318091409586008,0.2523211592450727,0.2471080727391081,0.2429722840010079,0.2396466316758158,0.2383997925936463,0.2363318956158956,0.2331692523475144,0.233716882498838,0.2320947297822774,0.23032093346638,0.2294137352038352,0.2281866618363231,0.2277410182963375,0.2269606399988339,0.226262538539746,0.2252938835348495
sub_17,0.2578934064667701,0.2128244721532357,0.2749246750227939,0.2708505787176849,0.2670208410760297,0.2635743200131152,0.2613675590040317,0.2603352042016508,0.2599531731932609,0.2592714448115223,0.2567047639156673,0.2539884073817116,0.2524210689611704,0.2488427281891629,0.2469493677801671,0.2473675651208563,0.2463246012220948,0.2458022995581994,0.2487773813486693,0.2477259517572957,0.2451160956392505,0.2441462080842776,0.2430149478121643,0.2420917530922144,0.2410550738272363,0.2409237942999792,0.2398800858496987,0.2390177198907853,0.2386306436498637,0.2370564043366534,0.23614835534593,0.2360612830438735,0.2359753086918842,0.235989411836284
sub_18,0.1835751662275928,0.1471873475684598,0.1894212452559366,0.1827762799042054,0.1800093576481859,0.1767001347626051,0.175590370159934,0.1734279652451841,0.1704427624170519,0.1694624510081654,0.1706723251264694,0.1719232872141125,0.171939631478965,0.1708720644161324,0.169505685612618,0.1682988436455283,0.167404532318271,0.1665784786982539,0.1717837743628068,0.1679674508464507,0.1674083065295333,0.1659647586206475,0.1657864927168993,0.1649707407813912,0.1633411745987119,0.1626173857478667,0.1634830592713268,0.1641069353089879,0.1641950001026945,0.1635776478952112,0.1627854661976914,0.1621294854931887,0.1617056376629146,0.1612084856423883
sub_19,0.1671299672726304,0.1267372739832106,0.1908508043201671,0.181146500447656,0.1745286984878309,0.1677168254128383,0.1632027803338242,0.1636607811795466,0.1626725681094474,0.1635020399447024,0.1638823025423113,0.1620218590178472,0.1594162392871927,0.1596814166759321,0.159626297046428,0.1591485229572977,0.1587587029972991,0.1580885754286763,0.1592229156397322,0.1545583895927245,0.1522049761211706,0.1485095760618304,0.1465600076299613,0.1470880879282972,0.1469948727768207,0.1475262761176909,0.1477238822269793,0.1468010906859828,0.1457148482599219,0.1460028327568185,0.1459482705057273,0.1459473495438011,0.1458738839321349,0.1457438213743453
sub_20,0.2507334858905546,0.1961430264151304,0.2655132355231154,0.257529605156879,0.2548449552673617,0.2543242950105366,0.2527945648109329,0.2503171468687026,0.2462724560006647,0.2422521281736806,0.2389088549000174,0.2362871729782862,0.2342753424500046,0.2337120584537954,0.2335354778440025,0.2309859568548629,0.2304199133775636,0.229112847779194,0.2341784082542805,0.2295915539654331,0.2286192391856879,0.2301117316240836,0.2289284298891751,0.2271299771430665,0.2255358018289302,0.2237516436150077,0.222657527270627,0.221362580388558,0.2205180709772167,0.220395223327686,0.2209721078220487,0.2199293750236281,0.2197118747935286,0.2193041856894235
sub_21,0.2575581274548842,0.2150812357561392,0.2773816780989919,0.2698615800968107,0.2667857935526186,0.2634951703039394,0.2616113793058948,0.2603340715555652,0.25929581507762,0.2568748594726676,0.2552515111292711,0.256656386828709,0.2576668878268437,0.255333409176963,0.2534401254478242,0.2533190503897225,0.2526168039115243,0.2512662435773002,0.2475364783934157,0.2452567505442777,0.2440904591923011,0.2430743414104391,0.2425477267405375,0.2419144783000621,0.2408927571875917,0.2401419993042192,0.2394026116165582,0.2406004500958684,0.2409574377250334,0.239906808980605,0.2389883735960316,0.238654951343392,0.2389711539185985,0.2386005236240895
sub_22,0.4272203431935529,0.3527916459942982,0.4333107128417028,0.4205819129176085,0.4231118907234329,0.4191467109613233,0.4243807490152732,0.4218977694745249,0.4206990130035718,0.4171741913794144,0.413363182457998,0.41167066993809,0.4101175774851843,0.4099414400779299,0.4058379024856811,0.4049994789382133,0.4035122706075327,0.4023213511501875,0.4060858959691213,0.4015921251383866,0.402554428237598,0.4015520445236907,0.4066356569633124,0.4047152648210434,0.4036873198810273,0.4007585575856601,0.3985194316133517,0.398176438435248,0.3968207801107444,0.3967049026004485,0.3942242378990811,0.3939737097836686,0.3933433742468553,0.3929641933468519
sub_23,0.2231459590428328,0.1768989518348361,0.2293231346667597,0.2250606196015993,0.22051894956738,0.2182707745851977,0.2167861120490784,0.2172631086603716,0.2177102092743846,0.2201314386863198,0.2179206406471927,0.2169621405102908,0.2156763377378701,0.2149956971882094,0.2142378650836829,0.213494593259114,0.2118264227634729,0.2100737493392499,0.2132015606044248,0.2094966428186542,0.2077636457629011,0.2063244796982056,0.2055295541444508,0.2060752908352461,0.2066963416829295,0.2080191420754454,0.2066975068680431,0.2062847312965826,0.2057344042212041,0.2048909539020427,0.2047052566354506,0.2041766805825026,0.2030467351944566,0.2018180085345191
sub_24,0.1978781920084366,0.1658700227458517,0.2100644083008752,0.2062787287776205,0.2047002412610789,0.2032457790862562,0.2030977773257766,0.2006149823092308,0.2001268831140592,0.1984292455396681,0.1969570889777908,0.197173613489618,0.1957087736523246,0.1952538232972925,0.1946852658448429,0.1935664737118569,0.1924651495923127,0.191114182367591,0.1895834092693569,0.1881924244463189,0.187572487693181,0.1871029333044054,0.1867620801762843,0.1858848801806825,0.1857767655328215,0.1849969737612255,0.1842845113975701,0.1847036629334752,0.1841573886238082,0.1839664346588066,0.1840144704345635,0.1834304445165964,0.1831418424313101,0.1824719397095802
